Tipo de Monitoramento:,CETESB,,,
Tipo de Rede:,Automática,,,
Tipo de Dado:,Primários,,,
Código da estação:,276,,,
Nome da estação:,Campinas-Taquaral,,,
,,,,
Data,Hora,Média Horária,Média Horária,Média Horária
,,MP10(Partículas Inaláveis) - µg/m3,NOx(Óxidos de Nitrogênio) - ppb,TEMP(Temperatura do Ar) - °C
18/09/2020,01:00,16,,"21,0"
18/09/2020,02:00,27,2,"21,0"
18/09/2020,03:00,31,1,"21,2"
18/09/2020,04:00,29,1,"21,3"
18/09/2020,05:00,23,1,"21,2"
18/09/2020,06:00,29,4,"21,1"
18/09/2020,07:00,31,6,"20,6"
18/09/2020,08:00,37,7,"22,0"
18/09/2020,09:00,41,11,"23,6"
18/09/2020,10:00,49,8,"24,9"
18/09/2020,11:00,51,7,"27,2"
18/09/2020,12:00,70,6,"28,7"
18/09/2020,13:00,81,12,"28,1"
18/09/2020,14:00,72,11,"28,9"
18/09/2020,15:00,94,12,"27,7"
18/09/2020,16:00,93,19,"29,7"
18/09/2020,17:00,103,20,"29,6"
18/09/2020,18:00,105,24,"27,2"
18/09/2020,19:00,97,42,"25,0"
18/09/2020,20:00,138,72,"23,7"
18/09/2020,21:00,112,82,"23,7"
18/09/2020,22:00,120,67,"23,3"
18/09/2020,23:00,122,72,"22,2"
18/09/2020,24:00,107,66,"21,6"
19/09/2020,01:00,110,,"20,7"
19/09/2020,02:00,101,48,"19,8"
19/09/2020,03:00,97,42,"20,1"
19/09/2020,04:00,101,43,"19,5"
19/09/2020,05:00,99,36,"18,6"
19/09/2020,06:00,86,30,"18,4"
19/09/2020,07:00,100,32,"18,5"
19/09/2020,08:00,102,35,"21,4"
19/09/2020,09:00,109,23,"24,3"
19/09/2020,10:00,100,17,"27,0"
19/09/2020,11:00,103,12,"29,5"
19/09/2020,12:00,84,9,"30,9"
19/09/2020,13:00,100,10,"31,8"
19/09/2020,14:00,103,10,"32,3"
19/09/2020,15:00,102,7,"32,7"
19/09/2020,16:00,97,6,"32,6"
19/09/2020,17:00,79,6,"31,9"
19/09/2020,18:00,48,9,"30,8"
19/09/2020,19:00,52,12,"28,4"
19/09/2020,20:00,47,16,"25,0"
19/09/2020,21:00,49,0,"23,6"
19/09/2020,22:00,64,0,"23,6"
19/09/2020,23:00,77,0,"22,9"
19/09/2020,24:00,84,0,"24,3"
20/09/2020,01:00,77,,"24,0"
20/09/2020,02:00,66,,"23,3"
20/09/2020,03:00,51,,"22,1"
20/09/2020,04:00,40,,"21,5"
20/09/2020,05:00,28,,"20,9"
20/09/2020,06:00,33,,"19,9"
20/09/2020,07:00,24,,"19,9"
20/09/2020,08:00,18,,"19,9"
20/09/2020,09:00,14,,"20,2"
20/09/2020,10:00,17,,"20,8"
20/09/2020,11:00,22,,"21,5"
20/09/2020,12:00,14,,"22,8"
20/09/2020,13:00,22,,"23,2"
20/09/2020,14:00,23,,"22,8"
20/09/2020,15:00,22,,"22,1"
20/09/2020,16:00,20,,"21,9"
20/09/2020,17:00,20,,"21,8"
20/09/2020,18:00,24,,"21,0"
20/09/2020,19:00,19,,"20,3"
20/09/2020,20:00,21,,"19,7"
20/09/2020,21:00,15,,"19,1"
20/09/2020,22:00,12,,"18,6"
20/09/2020,23:00,9,,"18,2"
20/09/2020,24:00,8,,"18,2"
